,trait_type,value,display_type,max_value,trait_count,order,cryptopunks ID
4,accessory,Black Lipstick,,,617,,9895
0,accessory,Earring,,,2459,,9902
1,type,Male,,,6039,,9899
2,accessory,Gold Chain,,,169,,9900
3,accessory,Headband,,,406,,9901
4,accessory,Cigarette,,,961,,9895
0,accessory,Mole,,,644,,9902
1,accessory,Big Shades,,,535,,9899
2,type,Female,,,3840,,9900
3,accessory,Straight Hair Blonde,,,144,,9901
0,accessory,Regular Shades,,,527,,9902
1,accessory,Wild Hair,,,447,,9899
2,type,Male,,,6039,,9900
3,accessory,Normal Beard,,,292,,9901
0,accessory,VR,,,332,,9902
1,accessory,Muttonchops,,,303,,9899
2,type,Male,,,6039,,9900
3,accessory,Police Cap,,,203,,9901
0,accessory,Spots,,,124,,9902
1,type,Male,,,6039,,9899
2,accessory,Wild Hair,,,447,,9900
3,accessory,Frown,,,261,,9901
0,accessory,Orange Side,,,68,,9902
1,accessory,Earring,,,2459,,9899
2,accessory,Nerd Glasses,,,572,,9900
3,type,Female,,,3840,,9901
0,accessory,Black Lipstick,,,617,,9902
1,type,Female,,,3840,,9899
2,accessory,Straight Hair Blonde,,,144,,9900
0,accessory,Clown Hair Green,,,148,,9902
1,accessory,Clown Eyes Green,,,382,,9899
2,type,Female,,,3840,,9900
0,accessory,Police Cap,,,203,,9902
1,type,Male,,,6039,,9899
2,accessory,Luxurious Beard,,,286,,9900
3,accessory,Clown Eyes Blue,,,384,,9901
0,accessory,Earring,,,2459,,9902
1,type,Male,,,6039,,9899
2,accessory,Shaved Head,,,300,,9900
3,accessory,Nerd Glasses,,,572,,9901
0,type,Male,,,6039,,9902
1,accessory,Mole,,,644,,9899
2,accessory,Messy Hair,,,460,,9900
0,accessory,Earring,,,2459,,9902
1,type,Male,,,6039,,9899
2,accessory,Classic Shades,,,502,,9900
3,accessory,Top Hat,,,115,,9901
0,accessory,Normal Beard,,,292,,9902
1,type,Male,,,6039,,9899
2,accessory,Peak Spike,,,303,,9900
3,accessory,Nerd Glasses,,,572,,9901
0,accessory,Blue Eye Shadow,,,266,,9902
1,type,Female,,,3840,,9899
2,accessory,Straight Hair Blonde,,,144,,9900
0,accessory,Muttonchops,,,303,,9902
1,type,Male,,,6039,,9899
2,accessory,Nerd Glasses,,,572,,9900
3,accessory,Messy Hair,,,460,,9901
0,type,Male,,,6039,,9902
1,accessory,Normal Beard,,,292,,9899
2,accessory,Hoodie,,,259,,9900
0,type,Zombie,,,88,,9902
1,accessory,Nerd Glasses,,,572,,9899
2,accessory,Hoodie,,,259,,9900
3,accessory,Normal Beard Black,,,289,,9901
0,accessory,Frumpy Hair,,,442,,9902
1,type,Male,,,6039,,9899
2,accessory,Horned Rim Glasses,,,535,,9900
0,accessory,Earring,,,2459,,9902
1,type,Male,,,6039,,9899
2,accessory,Top Hat,,,115,,9900
3,accessory,Buck Teeth,,,78,,9901
4,accessory,Big Beard,,,146,,9895
5,accessory,Mole,,,644,,9896
6,accessory,Classic Shades,,,502,,9891
7,accessory,Cigarette,,,961,,9894
0,accessory,Earring,,,2459,,9902
1,type,Alien,,,9,,9899
2,accessory,Medical Mask,,,175,,9900
3,accessory,Knitted Cap,,,419,,9901
0,type,Zombie,,,88,,9902
1,accessory,Knitted Cap,,,419,,9899
2,accessory,Frown,,,261,,9900
3,accessory,Front Beard,,,273,,9901
0,type,Zombie,,,88,,9902
1,accessory,Cap,,,351,,9899
2,accessory,Eye Patch,,,461,,9900
3,accessory,Gold Chain,,,169,,9901
0,type,Zombie,,,88,,9902
1,accessory,Earring,,,2459,,9899
2,accessory,Top Hat,,,115,,9900
3,accessory,Front Beard Dark,,,260,,9901
0,type,Zombie,,,88,,9902
1,accessory,Mohawk Dark,,,429,,9899
0,accessory,Wild Hair,,,447,,9902
1,type,Female,,,3840,,9899
0,accessory,Earring,,,2459,,9902
1,type,Alien,,,9,,9899
2,accessory,Cowboy Hat,,,142,,9900
0,accessory,Stringy Hair,,,463,,9902
1,accessory,Chinstrap,,,282,,9899
2,type,Male,,,6039,,9900
3,accessory,Big Shades,,,535,,9901
4,accessory,Medical Mask,,,175,,9895
0,accessory,Mustache,,,288,,9902
1,type,Male,,,6039,,9899
2,accessory,Frown,,,261,,9900
3,accessory,Beanie,,,44,,9901
0,accessory,Crazy Hair,,,414,,9902
1,type,Female,,,3840,,9899
2,accessory,Green Eye Shadow,,,271,,9900
0,type,Male,,,6039,,9902
1,accessory,Mohawk Dark,,,429,,9899
2,accessory,Smile,,,238,,9900
0,type,Zombie,,,88,,9902
1,accessory,Cap,,,351,,9899
0,accessory,VR,,,332,,9902
1,accessory,Earring,,,2459,,9899
2,type,Zombie,,,88,,9900
3,accessory,Front Beard,,,273,,9901
4,accessory,Headband,,,406,,9895
0,accessory,Shadow Beard,,,526,,9902
1,type,Male,,,6039,,9899
2,accessory,Hoodie,,,259,,9900
0,type,Male,,,6039,,9902
0,accessory,Crazy Hair,,,414,,9902
1,accessory,Purple Lipstick,,,655,,9899
2,type,Female,,,3840,,9900
3,accessory,Green Eye Shadow,,,271,,9901
0,accessory,Black Lipstick,,,617,,9902
1,accessory,Clown Eyes Green,,,382,,9899
2,type,Female,,,3840,,9900
3,accessory,Straight Hair Blonde,,,144,,9901
0,accessory,Earring,,,2459,,9902
1,type,Male,,,6039,,9899
2,accessory,Clown Eyes Green,,,382,,9900
3,accessory,Mohawk Thin,,,441,,9901
4,accessory,Front Beard,,,273,,9895
0,accessory,Earring,,,2459,,9902
1,type,Male,,,6039,,9899
2,accessory,Luxurious Beard,,,286,,9900
3,accessory,Headband,,,406,,9901
0,type,Male,,,6039,,9902
1,accessory,Clown Hair Green,,,148,,9899
2,accessory,Frown,,,261,,9900
3,accessory,Front Beard,,,273,,9901
0,type,Male,,,6039,,9902
1,accessory,Messy Hair,,,460,,9899
2,accessory,Small Shades,,,378,,9900
0,accessory,Shadow Beard,,,526,,9902
1,accessory,Frumpy Hair,,,442,,9899
2,type,Male,,,6039,,9900
3,accessory,Mole,,,644,,9901
0,type,Ape,,,24,,9902
1,accessory,3D Glasses,,,286,,9899
2,accessory,Cowboy Hat,,,142,,9900
0,accessory,Wild Hair,,,447,,9902
1,accessory,Shadow Beard,,,526,,9899
2,type,Male,,,6039,,9900
0,accessory,Cap Forward,,,254,,9902
1,type,Alien,,,9,,9899
2,accessory,Pipe,,,317,,9900
3,accessory,Small Shades,,,378,,9901
0,accessory,Straight Hair Blonde,,,144,,9902
1,type,Female,,,3840,,9899
2,accessory,Purple Eye Shadow,,,262,,9900
0,accessory,Regular Shades,,,527,,9902
1,type,Male,,,6039,,9899
2,accessory,Handlebars,,,263,,9900
3,accessory,Hoodie,,,259,,9901
0,accessory,Mohawk,,,441,,9902
1,type,Female,,,3840,,9899
2,accessory,Gold Chain,,,169,,9900
0,accessory,Small Shades,,,378,,9902
1,accessory,Earring,,,2459,,9899
2,type,Male,,,6039,,9900
3,accessory,Top Hat,,,115,,9901
0,accessory,Crazy Hair,,,414,,9902
1,accessory,Purple Lipstick,,,655,,9899
2,type,Female,,,3840,,9900
3,accessory,Gold Chain,,,169,,9901
0,accessory,Earring,,,2459,,9902
1,accessory,Purple Eye Shadow,,,262,,9899
2,type,Female,,,3840,,9900
3,accessory,Purple Lipstick,,,655,,9901
4,accessory,Pigtails,,,94,,9895
0,accessory,Hot Lipstick,,,696,,9902
1,accessory,Orange Side,,,68,,9899
2,accessory,Earring,,,2459,,9900
3,type,Female,,,3840,,9901
0,accessory,Cap,,,351,,9902
1,accessory,Mustache,,,288,,9899
2,type,Male,,,6039,,9900
0,accessory,Stringy Hair,,,463,,9902
1,accessory,Earring,,,2459,,9899
2,type,Male,,,6039,,9900
3,accessory,Goat,,,295,,9901
0,type,Male,,,6039,,9902
1,accessory,Classic Shades,,,502,,9899
2,accessory,Mohawk Thin,,,441,,9900
0,accessory,Vampire Hair,,,147,,9902
1,accessory,Shadow Beard,,,526,,9899
2,type,Male,,,6039,,9900
3,accessory,Horned Rim Glasses,,,535,,9901
0,accessory,Vape,,,272,,9902
1,type,Male,,,6039,,9899
2,accessory,Big Shades,,,535,,9900
3,accessory,Hoodie,,,259,,9901
0,type,Female,,,3840,,9902
0,accessory,Blonde Bob,,,147,,9902
1,accessory,Clown Eyes Blue,,,384,,9899
2,accessory,Black Lipstick,,,617,,9900
3,type,Female,,,3840,,9901
0,accessory,Earring,,,2459,,9902
1,accessory,Crazy Hair,,,414,,9899
2,accessory,Black Lipstick,,,617,,9900
3,type,Female,,,3840,,9901
0,accessory,Purple Hair,,,165,,9902
1,type,Male,,,6039,,9899
0,accessory,Earring,,,2459,,9902
1,type,Male,,,6039,,9899
2,accessory,Pipe,,,317,,9900
3,accessory,Bandana,,,481,,9901
4,accessory,Nerd Glasses,,,572,,9895
5,accessory,Goat,,,295,,9896
0,accessory,Earring,,,2459,,9902
1,type,Female,,,3840,,9899
2,accessory,Hot Lipstick,,,696,,9900
3,accessory,Tassle Hat,,,178,,9901
4,accessory,Cigarette,,,961,,9895
0,accessory,Normal Beard Black,,,289,,9902
1,accessory,Cap,,,351,,9899
2,type,Male,,,6039,,9900
0,accessory,Mohawk Dark,,,429,,9902
1,accessory,Clown Nose,,,212,,9899
2,type,Female,,,3840,,9900
0,accessory,Purple Lipstick,,,655,,9902
1,accessory,Mohawk Thin,,,441,,9899
2,type,Female,,,3840,,9900
3,accessory,Green Eye Shadow,,,271,,9901
0,accessory,Eye Mask,,,293,,9902
1,accessory,Earring,,,2459,,9899
2,accessory,Shaved Head,,,300,,9900
3,type,Male,,,6039,,9901
4,accessory,Shadow Beard,,,526,,9895
5,accessory,Mole,,,644,,9896
0,accessory,Earring,,,2459,,9902
1,type,Male,,,6039,,9899
2,accessory,Mohawk Thin,,,441,,9900
3,accessory,Smile,,,238,,9901
0,accessory,Earring,,,2459,,9902
1,type,Male,,,6039,,9899
2,accessory,Luxurious Beard,,,286,,9900
3,accessory,Messy Hair,,,460,,9901
0,accessory,Cap,,,351,,9902
1,type,Male,,,6039,,9899
2,accessory,Horned Rim Glasses,,,535,,9900
0,accessory,VR,,,332,,9902
1,accessory,Fedora,,,186,,9899
2,type,Male,,,6039,,9900
3,accessory,Normal Beard,,,292,,9901
4,accessory,Cigarette,,,961,,9895
0,accessory,Silver Chain,,,156,,9902
1,type,Male,,,6039,,9899
2,accessory,Luxurious Beard,,,286,,9900
0,accessory,Earring,,,2459,,9902
1,accessory,Eye Patch,,,461,,9899
2,type,Male,,,6039,,9900
3,accessory,Mohawk Thin,,,441,,9901
4,accessory,Medical Mask,,,175,,9895
0,accessory,VR,,,332,,9902
1,accessory,Shadow Beard,,,526,,9899
2,type,Male,,,6039,,9900
3,accessory,Police Cap,,,203,,9901
0,type,Male,,,6039,,9902
1,accessory,Nerd Glasses,,,572,,9899
2,accessory,Hoodie,,,259,,9900
3,accessory,Cigarette,,,961,,9901
0,accessory,Shadow Beard,,,526,,9902
1,type,Male,,,6039,,9899
2,accessory,Cowboy Hat,,,142,,9900
0,accessory,Earring,,,2459,,9902
1,type,Male,,,6039,,9899
2,accessory,Hoodie,,,259,,9900
3,accessory,Front Beard,,,273,,9901
4,accessory,Classic Shades,,,502,,9895
0,accessory,3D Glasses,,,286,,9902
1,type,Male,,,6039,,9899
2,accessory,Police Cap,,,203,,9900
0,accessory,Regular Shades,,,527,,9902
1,type,Male,,,6039,,9899
2,accessory,Do-rag,,,300,,9900
3,accessory,Luxurious Beard,,,286,,9901
4,accessory,Smile,,,238,,9895
0,accessory,Stringy Hair,,,463,,9902
1,type,Male,,,6039,,9899
2,accessory,Luxurious Beard,,,286,,9900
0,accessory,Blue Eye Shadow,,,266,,9902
1,type,Female,,,3840,,9899
2,accessory,Knitted Cap,,,419,,9900
0,accessory,Hot Lipstick,,,696,,9902
1,accessory,Half Shaved,,,147,,9899
2,type,Female,,,3840,,9900
0,accessory,Hot Lipstick,,,696,,9902
1,accessory,Earring,,,2459,,9899
2,type,Female,,,3840,,9900
3,accessory,Knitted Cap,,,419,,9901
0,accessory,Stringy Hair,,,463,,9902
1,accessory,Black Lipstick,,,617,,9899
2,accessory,Clown Eyes Green,,,382,,9900
3,type,Female,,,3840,,9901
0,accessory,Wild Hair,,,447,,9902
1,accessory,Earring,,,2459,,9899
2,type,Male,,,6039,,9900
3,accessory,Luxurious Beard,,,286,,9901
0,accessory,Classic Shades,,,502,,9902
1,type,Male,,,6039,,9899
2,accessory,Peak Spike,,,303,,9900
0,accessory,Nerd Glasses,,,572,,9902
1,accessory,Mohawk Thin,,,441,,9899
2,type,Female,,,3840,,9900
0,accessory,Frumpy Hair,,,442,,9902
1,type,Male,,,6039,,9899
2,accessory,Frown,,,261,,9900
3,accessory,Front Beard,,,273,,9901
0,accessory,Blue Eye Shadow,,,266,,9902
1,accessory,Straight Hair,,,151,,9899
2,type,Female,,,3840,,9900
3,accessory,Hot Lipstick,,,696,,9901
0,accessory,Earring,,,2459,,9902
1,accessory,Straight Hair Dark,,,148,,9899
2,accessory,Big Shades,,,535,,9900
3,type,Female,,,3840,,9901
4,accessory,Mole,,,644,,9895
0,accessory,Wild Hair,,,447,,9902
1,accessory,Shadow Beard,,,526,,9899
2,type,Male,,,6039,,9900
3,accessory,Horned Rim Glasses,,,535,,9901
0,accessory,VR,,,332,,9902
1,accessory,Earring,,,2459,,9899
2,type,Female,,,3840,,9900
3,accessory,Straight Hair Blonde,,,144,,9901
0,accessory,Red Mohawk,,,147,,9902
1,type,Female,,,3840,,9899
2,accessory,Purple Eye Shadow,,,262,,9900
0,accessory,Hot Lipstick,,,696,,9902
1,accessory,Wild Blonde,,,144,,9899
2,type,Female,,,3840,,9900
3,accessory,Purple Eye Shadow,,,262,,9901
0,accessory,Mustache,,,288,,9902
1,type,Male,,,6039,,9899
2,accessory,Mohawk Dark,,,429,,9900
0,accessory,Earring,,,2459,,9902
1,accessory,Shadow Beard,,,526,,9899
2,type,Male,,,6039,,9900
3,accessory,Mohawk,,,441,,9901
0,accessory,Cap Forward,,,254,,9902
1,type,Male,,,6039,,9899
2,accessory,Horned Rim Glasses,,,535,,9900
0,accessory,Normal Beard Black,,,289,,9902
1,accessory,Wild Hair,,,447,,9899
2,type,Male,,,6039,,9900
0,type,Male,,,6039,,9902
1,accessory,Mohawk Dark,,,429,,9899
2,accessory,Chinstrap,,,282,,9900
3,accessory,Small Shades,,,378,,9901
0,accessory,Wild Hair,,,447,,9902
1,type,Male,,,6039,,9899
2,accessory,Regular Shades,,,527,,9900
3,accessory,Front Beard,,,273,,9901
0,accessory,Big Shades,,,535,,9902
1,type,Female,,,3840,,9899
2,accessory,Knitted Cap,,,419,,9900
0,accessory,Hot Lipstick,,,696,,9902
1,accessory,Earring,,,2459,,9899
2,accessory,Messy Hair,,,460,,9900
3,type,Female,,,3840,,9901
0,accessory,Dark Hair,,,157,,9902
1,accessory,Rosy Cheeks,,,128,,9899
2,type,Female,,,3840,,9900
0,accessory,Earring,,,2459,,9902
1,accessory,Straight Hair Dark,,,148,,9899
2,type,Female,,,3840,,9900
3,accessory,Purple Eye Shadow,,,262,,9901
0,accessory,Earring,,,2459,,9902
1,accessory,Chinstrap,,,282,,9899
2,type,Male,,,6039,,9900
3,accessory,Peak Spike,,,303,,9901
4,accessory,Classic Shades,,,502,,9895
0,accessory,VR,,,332,,9902
1,type,Male,,,6039,,9899
2,accessory,Do-rag,,,300,,9900
0,accessory,Stringy Hair,,,463,,9902
1,type,Male,,,6039,,9899
2,accessory,Horned Rim Glasses,,,535,,9900
3,accessory,Chinstrap,,,282,,9901
0,accessory,Blue Eye Shadow,,,266,,9902
1,accessory,Bandana,,,481,,9899
2,type,Female,,,3840,,9900
0,accessory,Earring,,,2459,,9902
1,accessory,Purple Hair,,,165,,9899
2,type,Male,,,6039,,9900
3,accessory,Shadow Beard,,,526,,9901
4,accessory,Horned Rim Glasses,,,535,,9895
0,accessory,Hot Lipstick,,,696,,9902
1,accessory,Dark Hair,,,157,,9899
2,type,Female,,,3840,,9900
0,accessory,Earring,,,2459,,9902
1,accessory,Muttonchops,,,303,,9899
2,type,Male,,,6039,,9900
3,accessory,Mohawk Dark,,,429,,9901
0,accessory,Stringy Hair,,,463,,9902
1,accessory,Earring,,,2459,,9899
2,accessory,Regular Shades,,,527,,9900
3,type,Male,,,6039,,9901
4,accessory,Shadow Beard,,,526,,9895
0,accessory,Crazy Hair,,,414,,9902
1,accessory,Purple Lipstick,,,655,,9899
2,type,Female,,,3840,,9900
0,accessory,Hot Lipstick,,,696,,9902
1,accessory,Headband,,,406,,9899
2,type,Female,,,3840,,9900
3,accessory,Green Eye Shadow,,,271,,9901
0,accessory,Earring,,,2459,,9902
1,accessory,Bandana,,,481,,9899
2,type,Male,,,6039,,9900
3,accessory,Luxurious Beard,,,286,,9901
0,accessory,Headband,,,406,,9902
1,type,Female,,,3840,,9899
2,accessory,Green Eye Shadow,,,271,,9900
0,accessory,Frumpy Hair,,,442,,9902
1,accessory,Purple Lipstick,,,655,,9899
2,type,Female,,,3840,,9900
3,accessory,Purple Eye Shadow,,,262,,9901
0,accessory,Hot Lipstick,,,696,,9902
1,accessory,Earring,,,2459,,9899
2,type,Female,,,3840,,9900
0,accessory,Stringy Hair,,,463,,9902
1,accessory,Earring,,,2459,,9899
2,accessory,Shadow Beard,,,526,,9900
3,type,Male,,,6039,,9901
0,accessory,Stringy Hair,,,463,,9902
1,type,Male,,,6039,,9899
2,accessory,Regular Shades,,,527,,9900
3,accessory,Front Beard,,,273,,9901
0,accessory,Stringy Hair,,,463,,9902
1,type,Male,,,6039,,9899
2,accessory,Regular Shades,,,527,,9900
0,accessory,VR,,,332,,9902
1,type,Male,,,6039,,9899
2,accessory,Messy Hair,,,460,,9900
0,accessory,VR,,,332,,9902
1,type,Male,,,6039,,9899
2,accessory,Police Cap,,,203,,9900
3,accessory,Chinstrap,,,282,,9901
0,accessory,Mustache,,,288,,9902
1,type,Male,,,6039,,9899
2,accessory,Hoodie,,,259,,9900
3,accessory,Frown,,,261,,9901
0,accessory,Frumpy Hair,,,442,,9902
1,type,Male,,,6039,,9899
0,accessory,Shadow Beard,,,526,,9902
1,accessory,Earring,,,2459,,9899
2,accessory,Frumpy Hair,,,442,,9900
3,type,Male,,,6039,,9901
0,accessory,Wild Hair,,,447,,9902
1,accessory,Earring,,,2459,,9899
2,type,Male,,,6039,,9900
3,accessory,Clown Eyes Green,,,382,,9901
0,accessory,Normal Beard Black,,,289,,9902
1,accessory,Earring,,,2459,,9899
2,accessory,Frumpy Hair,,,442,,9900
3,type,Male,,,6039,,9901
0,accessory,Eye Mask,,,293,,9902
1,type,Male,,,6039,,9899
2,accessory,Shaved Head,,,300,,9900
0,type,Male,,,6039,,9902
1,accessory,Shaved Head,,,300,,9899
2,accessory,Front Beard Dark,,,260,,9900
0,accessory,Cap,,,351,,9902
1,type,Male,,,6039,,9899
2,accessory,Mole,,,644,,9900
0,accessory,VR,,,332,,9902
1,accessory,Earring,,,2459,,9899
2,type,Male,,,6039,,9900
3,accessory,Messy Hair,,,460,,9901
0,accessory,Cap,,,351,,9902
1,type,Male,,,6039,,9899
2,accessory,Nerd Glasses,,,572,,9900
3,accessory,Front Beard Dark,,,260,,9901
0,accessory,Wild Hair,,,447,,9902
1,accessory,Eye Patch,,,461,,9899
2,type,Male,,,6039,,9900
3,accessory,Front Beard,,,273,,9901
0,accessory,Half Shaved,,,147,,9902
1,accessory,Classic Shades,,,502,,9899
2,accessory,Purple Lipstick,,,655,,9900
3,type,Female,,,3840,,9901
0,accessory,Cap,,,351,,9902
1,accessory,Earring,,,2459,,9899
2,type,Male,,,6039,,9900
3,accessory,Nerd Glasses,,,572,,9901
0,accessory,Stringy Hair,,,463,,9902
1,accessory,Classic Shades,,,502,,9899
2,type,Female,,,3840,,9900
0,accessory,Earring,,,2459,,9902
1,type,Female,,,3840,,9899
2,accessory,Green Eye Shadow,,,271,,9900
3,accessory,Half Shaved,,,147,,9901
4,accessory,Mole,,,644,,9895
0,accessory,Straight Hair Blonde,,,144,,9902
1,accessory,Purple Lipstick,,,655,,9899
2,type,Female,,,3840,,9900
3,accessory,Gold Chain,,,169,,9901
0,accessory,Wild Hair,,,447,,9902
1,accessory,Earring,,,2459,,9899
2,type,Female,,,3840,,9900
3,accessory,Cigarette,,,961,,9901
0,accessory,Earring,,,2459,,9902
1,type,Male,,,6039,,9899
2,accessory,Shaved Head,,,300,,9900
3,accessory,Small Shades,,,378,,9901
0,type,Male,,,6039,,9902
1,accessory,Classic Shades,,,502,,9899
2,accessory,Shaved Head,,,300,,9900
3,accessory,Mole,,,644,,9901
0,type,Male,,,6039,,9902
1,accessory,Shaved Head,,,300,,9899
2,accessory,Normal Beard,,,292,,9900
0,accessory,Stringy Hair,,,463,,9902
1,type,Male,,,6039,,9899
2,accessory,Classic Shades,,,502,,9900
3,accessory,Handlebars,,,263,,9901
0,accessory,Blue Eye Shadow,,,266,,9902
1,accessory,Earring,,,2459,,9899
2,accessory,Bandana,,,481,,9900
3,type,Female,,,3840,,9901
0,accessory,Frumpy Hair,,,442,,9902
1,accessory,Mole,,,644,,9899
2,accessory,Black Lipstick,,,617,,9900
3,type,Female,,,3840,,9901
0,accessory,Earring,,,2459,,9902
1,accessory,Black Lipstick,,,617,,9899
2,type,Female,,,3840,,9900
0,accessory,Cap Forward,,,254,,9902
1,accessory,Shadow Beard,,,526,,9899
2,type,Male,,,6039,,9900
0,accessory,Cap Forward,,,254,,9902
1,type,Male,,,6039,,9899
2,accessory,Mole,,,644,,9900
3,accessory,Small Shades,,,378,,9901
0,accessory,Earring,,,2459,,9902
1,accessory,Shadow Beard,,,526,,9899
2,type,Male,,,6039,,9900
3,accessory,Messy Hair,,,460,,9901
0,type,Male,,,6039,,9902
1,accessory,3D Glasses,,,286,,9899
2,accessory,Handlebars,,,263,,9900
3,accessory,Do-rag,,,300,,9901
0,accessory,Hot Lipstick,,,696,,9902
1,accessory,Frumpy Hair,,,442,,9899
2,type,Female,,,3840,,9900
3,accessory,Green Eye Shadow,,,271,,9901
0,accessory,Small Shades,,,378,,9902
1,type,Male,,,6039,,9899
2,accessory,Hoodie,,,259,,9900
3,accessory,Front Beard,,,273,,9901
0,accessory,Wild Hair,,,447,,9902
1,accessory,Shadow Beard,,,526,,9899
2,type,Male,,,6039,,9900
3,accessory,Eye Patch,,,461,,9901
0,accessory,Crazy Hair,,,414,,9902
1,type,Male,,,6039,,9899
2,accessory,Horned Rim Glasses,,,535,,9900
3,accessory,Normal Beard,,,292,,9901
0,accessory,Earring,,,2459,,9902
1,type,Male,,,6039,,9899
2,accessory,Frown,,,261,,9900
3,accessory,Nerd Glasses,,,572,,9901
4,accessory,Hoodie,,,259,,9895
0,accessory,Fedora,,,186,,9902
1,type,Male,,,6039,,9899
2,accessory,Nerd Glasses,,,572,,9900
3,accessory,Big Beard,,,146,,9901
4,accessory,Cigarette,,,961,,9895
0,accessory,Wild Hair,,,447,,9902
1,accessory,Earring,,,2459,,9899
2,type,Male,,,6039,,9900
3,accessory,VR,,,332,,9901
0,accessory,Stringy Hair,,,463,,9902
1,type,Male,,,6039,,9899
2,accessory,Horned Rim Glasses,,,535,,9900
3,accessory,Normal Beard Black,,,289,,9901
0,type,Male,,,6039,,9902
1,accessory,Chinstrap,,,282,,9899
2,accessory,Smile,,,238,,9900
3,accessory,Messy Hair,,,460,,9901
0,accessory,Normal Beard Black,,,289,,9902
1,accessory,Earring,,,2459,,9899
2,type,Male,,,6039,,9900
3,accessory,Mohawk Thin,,,441,,9901
0,accessory,Wild Hair,,,447,,9902
1,accessory,Earring,,,2459,,9899
2,type,Male,,,6039,,9900
3,accessory,Eye Patch,,,461,,9901
0,accessory,Earring,,,2459,,9902
1,accessory,Shadow Beard,,,526,,9899
2,type,Male,,,6039,,9900
3,accessory,Mohawk Dark,,,429,,9901
0,type,Male,,,6039,,9902
1,accessory,Classic Shades,,,502,,9899
2,accessory,Messy Hair,,,460,,9900
0,accessory,Cap,,,351,,9902
1,accessory,Shadow Beard,,,526,,9899
2,type,Male,,,6039,,9900
0,accessory,Earring,,,2459,,9902
1,accessory,Chinstrap,,,282,,9899
2,accessory,Small Shades,,,378,,9900
3,type,Male,,,6039,,9901
4,accessory,Mohawk,,,441,,9895
0,accessory,Frumpy Hair,,,442,,9902
1,accessory,Regular Shades,,,527,,9899
2,type,Female,,,3840,,9900
3,accessory,Gold Chain,,,169,,9901
0,accessory,Stringy Hair,,,463,,9902
1,type,Male,,,6039,,9899
2,accessory,Classic Shades,,,502,,9900
0,accessory,Stringy Hair,,,463,,9902
1,type,Female,,,3840,,9899
2,accessory,Gold Chain,,,169,,9900
0,accessory,3D Glasses,,,286,,9902
1,accessory,Headband,,,406,,9899
2,type,Female,,,3840,,9900
0,type,Male,,,6039,,9902
1,accessory,Big Shades,,,535,,9899
2,accessory,Shaved Head,,,300,,9900
3,accessory,Mole,,,644,,9901
0,accessory,Hot Lipstick,,,696,,9902
1,accessory,Earring,,,2459,,9899
2,accessory,Messy Hair,,,460,,9900
3,type,Female,,,3840,,9901
0,accessory,Cap,,,351,,9902
1,accessory,Purple Lipstick,,,655,,9899
2,type,Female,,,3840,,9900
0,type,Male,,,6039,,9902
1,accessory,Classic Shades,,,502,,9899
2,accessory,Headband,,,406,,9900
0,accessory,Earring,,,2459,,9902
1,type,Female,,,3840,,9899
2,accessory,Medical Mask,,,175,,9900
3,accessory,Straight Hair,,,151,,9901
4,accessory,Classic Shades,,,502,,9895
0,accessory,Eye Mask,,,293,,9902
1,accessory,Wild White Hair,,,136,,9899
2,type,Female,,,3840,,9900
0,accessory,Vape,,,272,,9902
1,accessory,Normal Beard Black,,,289,,9899
2,type,Male,,,6039,,9900
3,accessory,Big Shades,,,535,,9901
4,accessory,Messy Hair,,,460,,9895
0,accessory,Normal Beard Black,,,289,,9902
1,accessory,Cap Forward,,,254,,9899
2,type,Male,,,6039,,9900
0,accessory,Cap Forward,,,254,,9902
